id,dam_name,geo_region,res_sed_rate_m3,drainage_sqkm,year_comp,utm_x,utm_y,year,stor_cap_m3,2020,%  capacity remaining
667,LOST LAKE WEST,SN,96.74021986,0.23,9133,765586.8529,4281965.325,1925,61674.1,59575.96831,96.59803436
669,LOWER BEAR RIVER,SN,96.74021986,95.83,18994,739112.695,4268908.068,1952,64171901.05,63996922.89,99.72732901
670,LOWER BLUE LAKE,SN,96.74021986,12.43,1097,767760.6837,4277778.309,1903,5303972.6,5242278.276,98.83682801
671,LOWER BUCK LAKE,SN,96.74021986,15.02,11324,785081.9746,4227624.898,1931,444053.52,444053.52,100
673,LOWER FEELEY LAKE,SN,96.74021986,2.2,1/1/1870,703078.783,4363426.307,1870,226960.688,221290.7157,97.5017822
677,LOWER HELL HOLE,SN,96.74021986,295.26,24108,724398.482,4326243.001,1966,257057648.8,255868475.6,99.53739046
680,LOWER LINDSEY LAKE,SN,96.74021986,1.55,1/1/1870,703040.0922,4364906.244,1870,394714.24,377307.9093,95.59014372
681,LOWER PEAK,SN,96.74021986,2.31,1/1/1860,720889.3819,4353359.04,1860,609340.108,600079.98,98.48030224
683,LOWER SARDINE LAKE,SN,96.74021986,4.92,23743,704160.8578,4387705.893,1965,345374.96,339596.7177,98.32696547
685,LOWER SUNSET,SN,96.74021986,4.27,,771957.7141,4278290.534,?,1060794.52,1060794.52,100
687,LOWER THREE LAKES,SN,96.74021986,3.89,10228,651872.7076,4425731.847,1928,747490.092,713357.6086,95.43372097
688,LOWER TWIN LAKE,SN,96.74021986,101.26,1/1/1888,821830.8755,4230666.446,1888,2466964,1968649.066,79.8004781
691,LUNDY LAKE,SN,96.74021986,46.1,4019,831797.915,4215871.425,1911,5073311.466,4604023.995,90.74987857
692,LYONS,SN,96.74021986,175.6,10959,748327.9382,4219752.3,1930,7682125.896,6912625.854,89.98324094
699,MAGALIA,SN,96.74021986,30.56,6576,621400.0281,4407976.93,1918,3577097.8,3417842.287,95.5479128
700,MAGNOLIA,SN,96.74021986,10.1,24473,667764.0681,4322610.153,1967,5118950.3,5066681.72,98.97891995
701,MAIN STRAWBERRY,SN,96.74021986,68.89,5845,763732.0173,4232088.287,1916,22587522.38,21897924.96,96.94699837
